"curve_x","curve_y","curve_z"
11.184791921675,0.788464842130632,0.733440444097926
11.3816279840233,0.87501452722796,0.659566595936415
11.5791036263157,0.960426509077912,0.586076646798858
11.7771835832113,1.04477558703338,0.512986179071436
11.9758271596353,1.12813854782174,0.44029464939743
12.1749946873402,1.21058400833843,0.367990778551607
12.3746473296634,1.29217827286071,0.296059837082606
12.5747407059025,1.37299768725315,0.224479216196981
12.7752201689793,1.45313559153378,0.153212470396464
12.9760000547272,1.53274118454921,0.0821952523167442
13.1770696118047,1.61183349760956,0.0114243511198369
13.3783590893483,1.69053818396593,-0.0591533112554038
13.5798088709632,1.76896226372026,-0.12958582566509
13.7814212108609,1.8471014169386,-0.199869735636935
13.9831851016897,1.92497393268182,-0.270014549878433
14.1850890352592,2.0025990804977,-0.340030414794886
14.3871290648119,2.07998295990487,-0.409920630114388
